INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2020-11-11T18:45:00-00:00,2020-11-11T18:50:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCC,LMP_CONG_PRC,BLYTHESC_1_N008,ALL,1,0,10,1
2020-11-11T18:50:00-00:00,2020-11-11T18:55:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCC,LMP_CONG_PRC,BLYTHESC_1_N008,ALL,1,0,11,1
2020-11-11T18:45:00-00:00,2020-11-11T18:50:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCE,LMP_ENE_PRC,BLYTHESC_1_N008,ALL,1,18.22316,10,2
2020-11-11T18:50:00-00:00,2020-11-11T18:55:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCE,LMP_ENE_PRC,BLYTHESC_1_N008,ALL,1,18.86123,11,2
2020-11-11T18:45:00-00:00,2020-11-11T18:50:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MGHG,LMP_GHG_PRC,BLYTHESC_1_N008,ALL,1,0,10,3
2020-11-11T18:50:00-00:00,2020-11-11T18:55:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MGHG,LMP_GHG_PRC,BLYTHESC_1_N008,ALL,1,0,11,3
2020-11-11T18:45:00-00:00,2020-11-11T18:50:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCL,LMP_LOSS_PRC,BLYTHESC_1_N008,ALL,1,-1.07334,10,4
2020-11-11T18:50:00-00:00,2020-11-11T18:55:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,MCL,LMP_LOSS_PRC,BLYTHESC_1_N008,ALL,1,-1.11093,11,4
2020-11-11T18:45:00-00:00,2020-11-11T18:50:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,LMP,LMP_PRC,BLYTHESC_1_N008,ALL,1,17.14981,10,5
2020-11-11T18:50:00-00:00,2020-11-11T18:55:00-00:00,2020-11-11,11,BLYTHESC_1_N008,BLYTHESC_1_N008,BLYTHESC_1_N008,RTM,LMP,LMP_PRC,BLYTHESC_1_N008,ALL,1,17.7503,11,5
